ADC_pan_value ,ADC_tilt_value ,Button_value ,Encoder_tilt_value ,Encoder_pan_value
         2048 ,          2048 ,           0 ,                86 ,              276
         2048 ,          2162 ,           0 ,                86 ,              276
         2048 ,          2272 ,           0 ,                86 ,              276
         2048 ,          2380 ,           0 ,                86 ,              276
         2048 ,          2484 ,           0 ,                86 ,              276
         2048 ,          2585 ,           0 ,                88 ,              276
         2048 ,          2683 ,           0 ,                91 ,              276
         2048 ,          2777 ,           0 ,                97 ,              276
         2048 ,          2868 ,           0 ,               100 ,              276
         2048 ,          2956 ,           0 ,               105 ,              276
         2048 ,          3041 ,           0 ,               116 ,              276
         2048 ,          3122 ,           0 ,               128 ,              276
         2048 ,          3200 ,           0 ,               141 ,              276
         2048 ,          3275 ,           0 ,               154 ,              276
         2048 ,          3347 ,           0 ,               172 ,              276
         2048 ,          3415 ,           0 ,               187 ,              276
         2048 ,          3480 ,           0 ,               206 ,              276
         2048 ,          3542 ,           0 ,               227 ,              276
         2048 ,          3600 ,           0 ,               246 ,              276
         2048 ,          3655 ,           0 ,               265 ,              276
         2048 ,          3707 ,           0 ,               285 ,              276
         2048 ,          3756 ,           0 ,               306 ,              276
         2048 ,          3801 ,           0 ,               331 ,              276
         2048 ,          3844 ,           0 ,                 1 ,              276
         2048 ,          3882 ,           0 ,                24 ,              276
         2048 ,          3918 ,           0 ,                47 ,              276
         2048 ,          3950 ,           0 ,                76 ,              276
         2048 ,          3980 ,           0 ,               105 ,              276
         2048 ,          4005 ,           0 ,               129 ,              276
         2048 ,          4028 ,           0 ,               163 ,              276
         2048 ,          4047 ,           0 ,               189 ,              276
         2048 ,          4063 ,           0 ,               210 ,              276
         2048 ,          4076 ,           0 ,               243 ,              276
         2048 ,          4085 ,           0 ,               277 ,              276
         2048 ,          4092 ,           0 ,               312 ,              276
         2048 ,          4095 ,           0 ,               339 ,              276
         2048 ,          4094 ,           0 ,                17 ,              276
         2048 ,          4091 ,           0 ,                54 ,              276
         2048 ,          4084 ,           0 ,                81 ,              276
         2048 ,          4074 ,           0 ,               123 ,              276
         2048 ,          4060 ,           0 ,               158 ,              276
         2048 ,          4044 ,           0 ,               186 ,              276
         2048 ,          4024 ,           0 ,               220 ,              276
         2048 ,          4000 ,           0 ,               246 ,              276
         2048 ,          3974 ,           0 ,               271 ,              276
         2048 ,          3944 ,           0 ,               301 ,              276
         2048 ,          3911 ,           0 ,               331 ,              276
         2048 ,          3875 ,           0 ,               354 ,              276
         2048 ,          3835 ,           0 ,                22 ,              276
         2048 ,          3793 ,           0 ,                50 ,              276
         2048 ,          3746 ,           0 ,                76 ,              276
         2048 ,          3697 ,           0 ,               103 ,              276
         2048 ,          3645 ,           0 ,               131 ,              276
         2048 ,          3589 ,           0 ,               157 ,              276
         2048 ,          3530 ,           0 ,               178 ,              276
         2048 ,          3467 ,           0 ,               203 ,              276
         2048 ,          3401 ,           0 ,               227 ,              276
         2048 ,          3332 ,           0 ,               247 ,              276
         2048 ,          3260 ,           0 ,               268 ,              276
         2048 ,          3185 ,           0 ,               284 ,              276
         2048 ,          3106 ,           0 ,               302 ,              276
         2048 ,          3024 ,           0 ,               320 ,              276
         2048 ,          2939 ,           0 ,               334 ,              276
         2048 ,          2850 ,           0 ,               347 ,              276
         2048 ,          2758 ,           0 ,               358 ,              276
         2048 ,          2663 ,           0 ,                 8 ,              276
         2048 ,          2565 ,           0 ,                16 ,              276
         2048 ,          2463 ,           0 ,                24 ,              276
         2048 ,          2358 ,           0 ,                27 ,              276
         2048 ,          2250 ,           0 ,                31 ,              276
         2048 ,          2139 ,           0 ,                33 ,              276
